"Location ID","Effective Date","Location Name","Location Usage",Superior Location,Inactive,Latitude,Longitude,Altitude,Time Profile,Locale,Time Zone,Default Currency,Effective Date,Country,Address Line Type,Address Line Data,Municipality,Submunicipality Type,Submunicipality Data,Country Region,Subregion Type,Subregion Data,Postal Code,Public,Primary,Type,Use For,Municipality Local,Country ISO Code,International Phone Code,Phone Number,Phone Extension,Device Type,Public,Primary,Type,Use For
New_York_1155_Building_Cubicle_1507,,Cubicle 1507,WORK SPACE,New_York_1155_Building_Suite_1500,n,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
New_York_1155_Building_Cubicle_1506,,Cubicle 1506,WORK SPACE,New_York_1155_Building_Suite_1500,n,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
New_York_1155_Building_Cubicle_1505,,Cubicle 1505,WORK SPACE,New_York_1155_Building_Suite_1500,n,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
New_York_1155_Building_Cubicle_1504,,Cubicle 1504,WORK SPACE,New_York_1155_Building_Suite_1500,n,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
New_York_1155_Building_Cubicle_1503,,Cubicle 1503,WORK SPACE,New_York_1155_Building_Suite_1500,n,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
New_York_1155_Building_Cubicle_1502,,Cubicle 1502,WORK SPACE,New_York_1155_Building_Suite_1500,n,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
New_York_1155_Building_Cubicle_1501,,Cubicle 1501,WORK SPACE,New_York_1155_Building_Suite_1500,n,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
San_Francisco_Embarcadero_Tower_1_Cubicle_3010,,Cubicle 3010,WORK SPACE,San_Francisco_Embarcadero_Tower_1_Suite_300,n,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
San_Francisco_Embarcadero_Tower_1_Cubicle_3009,,Cubicle 3009,WORK SPACE,San_Francisco_Embarcadero_Tower_1_Suite_300,n,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
San_Francisco_Embarcadero_Tower_1_Cubicle_3007,,Cubicle 3007,WORK SPACE,San_Francisco_Embarcadero_Tower_1_Suite_300,n,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
San_Francisco_Embarcadero_Tower_1_Cubicle_3008,,Cubicle 3008,WORK SPACE,San_Francisco_Embarcadero_Tower_1_Suite_300,n,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
San_Francisco_Embarcadero_Tower_1_Cubicle_3006,,Cubicle 3006,WORK SPACE,San_Francisco_Embarcadero_Tower_1_Suite_300,n,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
San_Francisco_Embarcadero_Tower_1_Cubicle_3005,,Cubicle 3005,WORK SPACE,San_Francisco_Embarcadero_Tower_1_Suite_300,n,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
San_Francisco_Embarcadero_Tower_1_Cubicle_3004,,Cubicle 3004,WORK SPACE,San_Francisco_Embarcadero_Tower_1_Suite_300,n,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
San_Francisco_Embarcadero_Tower_1_Cubicle_3003,,Cubicle 3003,WORK SPACE,San_Francisco_Embarcadero_Tower_1_Suite_300,n,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
San_Francisco_Embarcadero_Tower_1_Cubicle_3002,,Cubicle 3002,WORK SPACE,San_Francisco_Embarcadero_Tower_1_Suite_300,n,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
San_Francisco_Embarcadero_Tower_1_Cubicle_3001,,Cubicle 3001,WORK SPACE,San_Francisco_Embarcadero_Tower_1_Suite_300,n,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
San_Francisco_Embarcadero_Tower_1_Cubicle_2010,,Cubicle 2010,WORK SPACE,San_Francisco_Embarcadero_Tower_1_Suite_200,n,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
San_Francisco_Embarcadero_Tower_1_Cubicle_2009,,Cubicle 2009,WORK SPACE,San_Francisco_Embarcadero_Tower_1_Suite_200,n,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
San_Francisco_Embarcadero_Tower_1_Cubicle_2008,,Cubicle 2008,WORK SPACE,San_Francisco_Embarcadero_Tower_1_Suite_200,n,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
San_Francisco_Embarcadero_Tower_1_Cubicle_2007,,Cubicle 2007,WORK SPACE,San_Francisco_Embarcadero_Tower_1_Suite_200,n,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
San_Francisco_Embarcadero_Tower_1_Cubicle_2006,,Cubicle 2006,WORK SPACE,San_Francisco_Embarcadero_Tower_1_Suite_200,n,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
San_Francisco_Embarcadero_Tower_1_Cubicle_2005,,Cubicle 2005,WORK SPACE,San_Francisco_Embarcadero_Tower_1_Suite_200,n,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
San_Francisco_Embarcadero_Tower_1_Cubicle_2004,,Cubicle 2004,WORK SPACE,San_Francisco_Embarcadero_Tower_1_Suite_200,n,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
San_Francisco_Embarcadero_Tower_1_Cubicle_2003,,Cubicle 2003,WORK SPACE,San_Francisco_Embarcadero_Tower_1_Suite_200,n,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
San_Francisco_Embarcadero_Tower_1_Cubicle_2002,,Cubicle 2002,WORK SPACE,San_Francisco_Embarcadero_Tower_1_Suite_200,n,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
San_Francisco_Embarcadero_Tower_1_Cubicle_2001,,Cubicle 2001,WORK SPACE,San_Francisco_Embarcadero_Tower_1_Suite_200,n,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
San_Francisco_Embarcadero_Tower_1_Cubicle_1010,,Cubicle 1010,WORK SPACE,San_Francisco_Embarcadero_Tower_1_Suite_100,n,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
San_Francisco_Embarcadero_Tower_1_Cubicle_1009,,Cubicle 1009,WORK SPACE,San_Francisco_Embarcadero_Tower_1_Suite_100,n,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
San_Francisco_Embarcadero_Tower_1_Cubicle_1008,,Cubicle 1008,WORK SPACE,San_Francisco_Embarcadero_Tower_1_Suite_100,n,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
San_Francisco_Embarcadero_Tower_1_Cubicle_1007,,Cubicle 1007,WORK SPACE,San_Francisco_Embarcadero_Tower_1_Suite_100,n,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
San_Francisco_Embarcadero_Tower_1_Cubicle_1006,,Cubicle 1006,WORK SPACE,San_Francisco_Embarcadero_Tower_1_Suite_100,n,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
San_Francisco_Embarcadero_Tower_1_Cubicle_1005,,Cubicle 1005,WORK SPACE,San_Francisco_Embarcadero_Tower_1_Suite_100,n,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
San_Francisco_Embarcadero_Tower_1_Cubicle_1004,,Cubicle 1004,WORK SPACE,San_Francisco_Embarcadero_Tower_1_Suite_100,n,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
San_Francisco_Embarcadero_Tower_1_Cubicle_1003,,Cubicle 1003,WORK SPACE,San_Francisco_Embarcadero_Tower_1_Suite_100,n,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
San_Francisco_Embarcadero_Tower_1_Cubicle_1002,,Cubicle 1002,WORK SPACE,San_Francisco_Embarcadero_Tower_1_Suite_100,n,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
San_Francisco_Embarcadero_Tower_1_Cubicle_1001,,Cubicle 1001,WORK SPACE,San_Francisco_Embarcadero_Tower_1_Suite_100,n,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Odense,2020-01-01,Odense,BUSINESS ASSET,,n,55.3958,10.3886,0,Standard_Hours_37,da_DK,Europe/Prague,DKK,2020-01-01,DK,ADDRESS_LINE_1,Toldbodgade,Odense,,,,,,21 5000,y,y,BUSINESS,STREET,,DNK,45,4563117310,,Landline,y,y,BUSINESS,
,,,BUSINESS SITE,,,,,,,,,,,,,,,,,,,,,,,,,,DNK,45,4563117311,,Fax,y,n,BUSINESS,
Gothenburg,2020-01-01,Gothenburg,BUSINESS ASSET,,n,57.7,11.9667,0,Standard_Hours_40,sv_SE,Europe/Stockholm,SEK,2020-01-01,SE,ADDRESS_LINE_1,Sankt Eriksgatan 7,Gothenburg,,,,,,411 05,y,y,BUSINESS,STREET,,SWE,46,3134 56 00,,Landline,y,y,BUSINESS,
,,,BUSINESS SITE,,,,,,,,,,,,,,,,,,,,,,,,SHIPPING,,SWE,46,3134 56 01,,Fax,y,n,BUSINESS,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Osaka,10/1/14,Osaka,BUSINESS ASSET,,n,34.734,135.496927,0,Standard_Hours_40,ja_JP,JST,JPY,10/1/14,JP,ADDRESS_LINE_1_LOCAL,宮原3-4-30,Yodogawa-ku,,,JPN-27,,,532-0003,y,y,BUSINESS,BILLING,淀川区,JPN,81,066543-1112,,Fax,y,n,BUSINESS,BILLING
,,,BUSINESS SITE,,,,,,,,,,,,ADDRESS_LINE_5_LOCAL,ニッセイ新大阪ビル,,,,,,,,,,,SHIPPING,,,,,,,,,,SHIPPING
,,,,,,,,,,,,,,,ADDRESS_LINE_2_LOCAL,ヨドガワク,,,,,,,,,,,REMIT,,,,,,,,,,REMIT
,,,,,,,,,,,,,,,ADDRESS_LINE_4_LOCAL,ミヤハラ,,,,,,,,,,,,,JPN,81,066543-1111,,Landline,y,y,BUSINESS,BILLING
,,,,,,,,,,,,,,,ADDRESS_LINE_1,3-4-30 Miyahara,,,,,,,,,,,,,,,,,,,,,SHIPPING
,,,,,,,,,,,,,,,ADDRESS_LINE_2,Nissay Shin-Osaka Bld.,,,,,,,,,,,,,,,,,,,,,REMIT
Mulhouse,2020-01-01,Mulhouse,BUSINESS ASSET,,n,47.45,7.2,232,Standard_Hours_35,fr_FR,Europe/Paris,EUR,2020-01-01,FR,ADDRESS_LINE_3,3,Mulhouse,,,,,,68100,y,y,BUSINESS,BILLING,,FRA,33,0389 66 90 01,,Fax,y,n,BUSINESS,BILLING
,,,BUSINESS SITE,,,,,,,,,,,,ADDRESS_LINE_1,Boulevard de l'Europe,,,,,,,,,,,SHIPPING,,,,,,,,,,SHIPPING
,,,,,,,,,,,,,,,,,,,,,,,,,,,REMIT,,,,,,,,,,REMIT
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FRA,33,0389 66 90 00,,Landline,y,y,BUSINESS,BILLING
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SHIPPING
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,REMIT
Perth,2020-01-01,Perth,BUSINESS ASSET,,n,-31.9505,115.8605,0,Standard_Hours_38,en_AU,Australia/Perth,AUD,2020-01-01,AU,ADDRESS_LINE_1,123 Victoria Street,Perth,,,AUS-WA,,,6000,y,y,BUSINESS,BILLING,,AUS,61,089330 3333,,Fax,y,y,BUSINESS,BILLING
,,,BUSINESS SITE,,,,,,,,,,,,ADDRESS_LINE_2,Suite 1601,,,,,,,,,,,SHIPPING,,,,,,,,,,SHIPPING
,,,,,,,,,,,,,,,,,,,,,,,,,,,REMIT,,,,,,,,,,REMIT
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AUS,61,089330 1600,,Landline,y,n,BUSINESS,BILLING
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SHIPPING
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,REMIT
Home_Office_Scotland,2020-01-01,Home Office (Scotland),BUSINESS ASSET,,n,0,0,0,Standard_Hours_40,en_GB,Europe/London,GBP,2020-01-01,GB,ADDRESS_LINE_1,729 Colinton Mains Drive,Edinburgh,,,,,,EH13 9AZ,y,y,BUSINESS,,,GBR,44,131229 1223,,Landline,y,y,BUSINESS,
,,,BUSINESS SITE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Home_Office_N_Ireland,2020-01-01,Home Office (N. Ireland),BUSINESS ASSET,,n,0,0,0,Standard_Hours_40,en_GB,Europe/London,EUR,2020-01-01,GB,ADDRESS_LINE_1,123 Donegall Quay,Belfast,,,,,,BT1 3NG,y,y,BUSINESS,BILLING,,GBR,44,289027 1666,,Landline,y,y,BUSINESS,
,,,BUSINESS SITE,,,,,,,,,,,,,,,,,,,,,,,,SHIPPING,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,REMIT,,,,,,,,,,
Home_Office_Wales,2020-01-01,Home Office (Wales),BUSINESS ASSET,,n,0,0,0,Standard_Hours_40,en_GB,Europe/London,EUR,2020-01-01,GB,ADDRESS_LINE_1,123 Canopus Close,Cardiff,,,,,,CF3 1N4,y,y,BUSINESS,,,GBR,44,292037 4091,,Landline,y,y,BUSINESS,
,,,BUSINESS SITE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Home_Office_UK,2020-01-01,Home Office (UK),BUSINESS ASSET,,n,0,0,0,Standard_Hours_40,en_GB,Europe/London,EUR,2020-01-01,GB,ADDRESS_LINE_1,123 High Street,London,,,,,,SW1X 7XL,y,y,BUSINESS,BILLING,,GBR,44,207735 1234,,Landline,y,y,BUSINESS,
,,,BUSINESS SITE,,,,,,,,,,,,,,,,,,,,,,,,SHIPPING,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,REMIT,,,,,,,,,,
Brisbane,2020-01-01,Brisbane,BUSINESS ASSET,,n,-27.47101,153.023448,0,Standard_Hours_38,en_AU,Australia/Brisbane,AUD,2020-01-01,AU,ADDRESS_LINE_1,240 Queen Street,Brisbane,,,AUS-QLD,,,4000,y,y,BUSINESS,STREET,,AUS,61,73819 1413,,Landline,y,y,BUSINESS,BILLING
,,,BUSINESS SITE,,,,,,,,,,,,,,,,,,,,,,,,SHIPPING,,,,,,,,,,SHIPPING
,,,,,,,,,,,,,,,,,,,,,,,,,,,MAILING,,,,,,,,,,REMIT
Lyon,2020-01-01,Lyon,BUSINESS ASSET,,n,45.4535,4.5032,92,Standard_Hours_35,fr_FR,Europe/Paris,EUR,2020-01-01,FR,ADDRESS_LINE_3,24,Lyon,,,FRA-69,,,69006,y,y,BUSINESS,BILLING,,FRA,33,472 82 18 20,,Fax,y,n,BUSINESS,BILLING
,,,BUSINESS SITE,,,,,,,,,,,,ADDRESS_LINE_1,Boulevard des Belges,,,,,,,,,,,SHIPPING,,,,,,,,,,SHIPPING
,,,,,,,,,,,,,,,,,,,,,,,,,,,REMIT,,,,,,,,,,REMIT
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FRA,33,472 82 18 00,,Landline,y,y,BUSINESS,BILLING
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SHIPPING
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,REMIT
Luxembourg,2020-01-01,Luxembourg,BUSINESS ASSET,,n,49.36,6.7,345,Standard_Hours_40,de_LU,Europe/Amsterdam,EUR,2020-01-01,LU,ADDRESS_LINE_1,106 rte d'Esch,Luxembourg City,,,LUX-L,,,1470,y,y,BUSINESS,BILLING,,LUX,352,2638 38 58 2,,Fax,y,n,BUSINESS,BILLING
,,,BUSINESS SITE,,,,,,,,,,,,,,,,,,,,,,,,SHIPPING,,,,,,,,,,SHIPPING
,,,,,,,,,,,,,,,,,,,,,,,,,,,REMIT,,,,,,,,,,REMIT
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LUX,352,2638 38 58 1,,Landline,y,y,BUSINESS,BILLING
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SHIPPING
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,REMIT
Berwyn,1/1/12,Berwyn,BUSINESS ASSET,,n,40.2,75.26,520,Standard_Hours_40,en_US,US/Eastern,USD,1/1/12,US,ADDRESS_LINE_1,1055 Westlakes Drive,Berwyn,,,USA-PA,REGION_SUBDIVISION_1,Chester,19312,y,y,BUSINESS,BILLING,,USA,1,610727-8499,,Landline,y,y,BUSINESS,BILLING
,,,BUSINESS SITE,,,,,,,,,,,,,,,,,,,,,,,,SHIPPING,,,,,,,,,,SHIPPING
,,,PAYROLL TAX,,,,,,,,,,,,,,,,,,,,,,,,REMIT,,,,,,,,,,REMIT
Zurich,1/1/12,Zurich,BUSINESS SITE,,n,47.22,8.33,1338,Standard_Hours_40,de_CH,Europe/Berlin,CHF,1/1/12,CH,ADDRESS_LINE_1,Asylstrasse 125,Zurich,,,CHE-ZH,,,8032,y,y,BUSINESS,BILLING,,CHE,41,43499 13 41,,Landline,y,y,BUSINESS,BILLING
,,,,,,,,,,,,,,,,,,,,,,,,,,,SHIPPING,,,,,,,,,,SHIPPING
,,,,,,,,,,,,,,,,,,,,,,,,,,,REMIT,,,,,,,,,,REMIT
Athens,1/1/12,Athens,BUSINESS SITE,,n,37.9838,23.7275,0,Standard_Hours_40,el_GR,US/Pacific,EUR,1/1/12,GR,ADDRESS_LINE_1,Lempesi 5,Athens,,,GRC-A1,,,117 42,y,y,BUSINESS,BILLING,,GRC,30,215215 2300,,Landline,y,y,BUSINESS,BILLING
,,,,,,,,,,,,,,,,,,,,,,,,,,,SHIPPING,,,,,,,,,,SHIPPING
,,,,,,,,,,,,,,,,,,,,,,,,,,,REMIT,,,,,,,,,,REMIT
Lisbon,1/1/12,Lisbon,BUSINESS SITE,,n,38.42,9.8,653,Standard_Hours_40,pt_PT,Europe/Paris,EUR,1/1/12,PT,ADDRESS_LINE_1,Avenida da Liberdade 229,,,,PRT-11,,,1269-046,y,y,BUSINESS,BILLING,,PRT,351,914734 118,,Landline,y,y,BUSINESS,BILLING
,,,,,,,,,,,,,,,,,,,,,,,,,,,SHIPPING,,,,,,,,,,SHIPPING
,,,,,,,,,,,,,,,,,,,,,,,,,,,REMIT,,,,,,,,,,REMIT
Madrid,1/1/12,Madrid,BUSINESS SITE,,n,40.24,3.41,2188,Standard_Hours_40,es_ES,Europe/Paris,EUR,1/1/12,ES,ADDRESS_LINE_3,Street,Madrid,,,ESP-M,,,28006,y,y,BUSINESS,BILLING,,ESP,34,91530 55 15,,Landline,y,y,BUSINESS,BILLING
,,,,,,,,,,,,,,,ADDRESS_LINE_1,Calle Pinar,,,,,,,,,,,SHIPPING,,,,,,,,,,SHIPPING
,,,,,,,,,,,,,,,ADDRESS_LINE_4,5,,,,,,,,,,,REMIT,,,,,,,,,,REMIT
,,,,,,,,,,,,,,,ADDRESS_LINE_8,10,,,,,,,,,,,,,,,,,,,,,
Rome,1/1/12,Rome,BUSINESS SITE,,n,41.54,12.3,70,Standard_Hours_40,it_IT,Europe/Paris,EUR,1/1/12,IT,ADDRESS_LINE_3,Piazza,Rome,,,ITA-RM,,,187,y,y,BUSINESS,BILLING,,ITA,39,6367121,,Landline,y,y,BUSINESS,BILLING
,,,,,,,,,,,,,,,ADDRESS_LINE_1,del Popolo,,,,,,,,,,,SHIPPING,,,,,,,,,,SHIPPING
,,,,,,,,,,,,,,,ADDRESS_LINE_4,18,,,,,,,,,,,REMIT,,,,,,,,,,REMIT
Sofia,1/1/12,Sofia,BUSINESS SITE,,n,42.42,23.2,1900,Standard_Hours_40,bg_BG,Europe/Prague,BGN,1/1/12,BG,ADDRESS_LINE_1,"40, Pop Bogomil Str.,",Sofia,,,,,,1202,y,y,BUSINESS,BILLING,,BGR,359,89683 8581,,Landline,y,y,BUSINESS,BILLING
,,,,,,,,,,,,,,,,,,,,,,,,,,,SHIPPING,,,,,,,,,,SHIPPING
,,,,,,,,,,,,,,,,,,,,,,,,,,,REMIT,,,,,,,,,,REMIT
Bucharest,1/1/12,Bucharest,BUSINESS SITE,,n,44.25,26.06,300,Standard_Hours_40,ro_RO,Europe/Prague,RON,1/1/12,RO,ADDRESS_LINE_1,Piata Montreal,Bucharest,,,ROU-B,,,11469,y,y,BUSINESS,BILLING,,ROU,40,021202 3100,,Landline,y,y,BUSINESS,BILLING
,,,,,,,,,,,,,,,ADDRESS_LINE_2,10,,,,,,,,,,,SHIPPING,,,,,,,,,,SHIPPING
,,,,,,,,,,,,,,,ADDRESS_LINE_5,1,,,,,,,,,,,REMIT,,,,,,,,,,REMIT
Budapest,1/1/12,Budapest,BUSINESS SITE,,n,47.28,19.03,315,Standard_Hours_40,hu_HU,Europe/Prague,HUF,1/1/12,HU,ADDRESS_LINE_2,Madách,Budapest,,,HUN-BU,,,1075,y,y,BUSINESS,BILLING,,HUN,36,1268-1900,,Pager,y,y,BUSINESS,BILLING
,,,,,,,,,,,,,,,ADDRESS_LINE_3,Imre út,,,,,,,,,,,SHIPPING,,,,,,,,,,SHIPPING
,,,,,,,,,,,,,,,ADDRESS_LINE_4,13,,,,,,,,,,,REMIT,,,,,,,,,,REMIT
Vienna,1/1/12,Vienna,BUSINESS SITE,,n,48.12,16.22,495,Standard_Hours_40,de_AT,Europe/Berlin,EUR,1/1/12,AT,ADDRESS_LINE_1,Ferchergasse,Austria,,,AUT-9,,,1170,y,y,BUSINESS,BILLING,,AUT,43,14844522,,Pager,y,y,BUSINESS,BILLING
,,,,,,,,,,,,,,,ADDRESS_LINE_3,19,,,,,,,,,,,SHIPPING,,,,,,,,,,SHIPPING
,,,,,,,,,,,,,,,,,,,,,,,,,,,REMIT,,,,,,,,,,REMIT
Berlin,1/1/12,Berlin,BUSINESS ASSET,,n,52.302,13.23,112,Standard_Hours_37_5,de_DE,Europe/Berlin,EUR,1/1/12,DE,ADDRESS_LINE_1,Kurfürstendamm,Berlin,,,DEU-BE,,,10719,y,y,BUSINESS,BILLING,,DEU,49,308471090,,Landline,y,y,BUSINESS,BILLING
,,,BUSINESS SITE,,,,,,,,,,,,ADDRESS_LINE_3,21,,,,,,,,,,,SHIPPING,,,,,,,,,,SHIPPING
,,,EXTENDED ENTERPRISE AFFILIATION,,,,,,,,,,,,,,,,,,,,,,,,REMIT,,,,,,,,,,REMIT
Copenhagen,1/1/12,Copenhagen,BUSINESS ASSET,,n,55.4,12.34,15,Standard_Hours_37,da_DK,Europe/Prague,DKK,1/1/12,DK,ADDRESS_LINE_1,Larsbjørnsstræde,København,,,DNK-85,,,1454,y,y,BUSINESS,BILLING,,DNK,45,31 94 45 00,,Landline,y,y,BUSINESS,BILLING
,,,BUSINESS SITE,,,,,,,,,,,,ADDRESS_LINE_3,3,,,,,,,,,,,SHIPPING,,,,,,,,,,SHIPPING
,,,,,,,,,,,,,,,,,,,,,,,,,,,REMIT,,,,,,,,,,REMIT
Helsinki,1/1/12,Helsinki,BUSINESS ASSET,,n,60.1,24.56,15,Standard_Hours_37_5,en_US,Europe/Helsinki,EUR,1/1/12,FI,ADDRESS_LINE_1,Kägelhamnen 3,,CITY_SUBDIVISION_1,Espoo,FIN-18,,,2150,y,y,BUSINESS,BILLING,,FIN,358,925107777,,Landline,y,y,BUSINESS,BILLING
,,,BUSINESS SITE,,,,,,,,,,,,,,,,,,,,,,,,SHIPPING,,,,,,,,,,SHIPPING
,,,,,,,,,,,,,,,,,,,,,,,,,,,REMIT,,,,,,,,,,REMIT
Wellington,1/1/12,Wellington,BUSINESS SITE,,n,41.17,174.46,0,Standard_Hours_40,en_NZ,Pacific/Auckland,NZD,1/1/12,NZ,ADDRESS_LINE_1,157 Lambton Quay,Wellington City,,,NZL-WGN,,,6140,y,y,BUSINESS,BILLING,,NZL,64,04462 9800,,Landline,y,y,BUSINESS,BILLING
,,,,,,,,,,,,,,,ADDRESS_LINE_2,"Level 16, Vodafone on the Quay",,,,,,,,,,,SHIPPING,,,,,,,,,,SHIPPING
,,,,,,,,,,,,,,,,,,,,,,,,,,,REMIT,,,,,,,,,,REMIT
Jakarta,2020-01-01,Jakarta,BUSINESS ASSET,,n,6.12,106.48,48,Standard_Hours_40,in_ID,Asia/Jakarta,IDR,2020-01-01,ID,ADDRESS_LINE_1,Jl. Jend. Sudirman Kav 52-53,Jakarta,CITY_SUBDIVISION_2,Senayan,IDN-JK,,,12190,y,y,BUSINESS,BILLING,,IDN,62,2125502550,,Landline,y,y,BUSINESS,BILLING
,,,BUSINESS SITE,,,,,,,,,,,,ADDRESS_LINE_2,15th Floor,,,,,,,,,,,SHIPPING,,,,,,,,,,SHIPPING
,,,,,,,,,,,,,,,,,,,,,,,,,,,REMIT,,,,,,,,,,REMIT
Calgary,2020-01-01,Calgary,BUSINESS ASSET,,n,51.03,114.04,3740,Standard_Hours_40,en_CA,US/Mountain,CAD,2020-01-01,CA,ADDRESS_LINE_1,205 5 Avenue Southwest,Calgary,,,CAN-AB,,,T2P 2V7,y,y,BUSINESS,BILLING,,CAN,1,403269-7441,,Fax,y,n,BUSINESS,BILLING
,,,BUSINESS SITE,,,,,,,,,,,,ADDRESS_LINE_2,#3300,,,,,,,,,,,SHIPPING,,,,,,,,,,SHIPPING
,,,,,,,,,,,,,,,,,,,,,,,,,,,REMIT,,,,,,,,,,REMIT
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CAN,1,403269-7440,,Landline,y,y,BUSINESS,BILLING
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SHIPPING
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,REMIT
Prague,2020-01-01,Prague,BUSINESS ASSET,,n,50.083333,14.416667,0,Standard_Hours_40,cs_CZ,Europe/Prague,CZK,2020-01-01,CZ,ADDRESS_LINE_1,Klimentska,Prague,,,CZE-10,,,110 02,y,y,BUSINESS,BILLING,,CZE,420,222714 4222,,Landline,y,y,BUSINESS,BILLING
,,,BUSINESS SITE,,,,,,,,,,,,ADDRESS_LINE_4,46,,,,,,,,,,,SHIPPING,,,,,,,,,,SHIPPING
,,,,,,,,,,,,,,,,,,,,,,,,,,,REMIT,,,,,,,,,,REMIT
Moscow,2020-01-01,Moscow,BUSINESS ASSET,,n,55.75,37.616667,0,Standard_Hours_40,ru_RU,Europe/Moscow,RUB,2020-01-01,RU,ADDRESS_LINE_1,Волгоградский пp.,Moscow,,,RUS-MOS,,,109316,y,y,BUSINESS,BILLING,,RUS,7,495670-90-55,,Landline,y,y,BUSINESS,BILLING
,,,BUSINESS SITE,,,,,,,,,,,,ADDRESS_LINE_4,1,,,,,,,,,,,SHIPPING,,,,,,,,,,SHIPPING
,,,,,,,,,,,,,,,,,,,,,,,,,,,REMIT,,,,,,,,,,REMIT
Warsaw,2020-01-01,Warsaw,BUSINESS ASSET,,n,52.23,21.010833,98,Standard_Hours_40,pl_PL,Europe/Prague,PLN,2020-01-01,PL,ADDRESS_LINE_1,Mokotowska,Warszawa,,,,,,00-001,y,y,BUSINESS,BILLING,,POL,48,22830 02 34,,Landline,y,y,BUSINESS,BILLING
,,,BUSINESS SITE,,,,,,,,,,,,ADDRESS_LINE_2,1,,,,,,,,,,,SHIPPING,,,,,,,,,,SHIPPING
,,,,,,,,,,,,,,,,,,,,,,,,,,,REMIT,,,,,,,,,,REMIT
